names;Lab;Method SiO2;Prep SiO2;Method TiO2;Prep TiO2;Method Al2O3;Prep Al2O3;Method Fe2O3T;Prep Fe2O3T;Method FeO;Prep FeO;Method MnO;Prep MnO;Method MgO;Prep MgO;Method CaO;Prep CaO;Method Na2O;Prep Na2O;Method K2O;Prep K2O;Method P2O5;Prep P2O5;Method H2O+;Prep H2O+;Method H2O-;Prep H2O-;Method CO2;Prep CO2;Method LOI;Prep LOI;Method As;Prep As;Method Ba;Prep Ba;Method Be;Prep Be;Method Ce;Prep Ce;Method Co;Prep Co;Method Cr;Prep Cr;Method Cs;Prep Cs;Method Cu;Prep Cu;Method Dy;Prep Dy;Method Er;Prep Er;Method Eu;Prep Eu;Method Ga;Prep Ga;Method Gd;Prep Gd;Method Hf;Prep Hf;Method Ho;Prep Ho;Method La;Prep La;Method Li;Prep Li;Method Lu;Prep Lu;Method Nb;Prep Nb;Method Nd;Prep Nd;Method Ni;Prep Ni;Method Pb;Prep Pb;Method Pr;Prep Pr;Method Rb;Prep Rb;Method Sb;Prep Sb;Method Sc;Prep Sc;Method Sm;Prep Sm;Method Sn;Prep Sn;Method Sr;Prep Sr;Method Ta;Prep Ta;Method Tb;Prep Tb;Method Th;Prep Th;Method Tl;Prep Tl;Method Tm;Prep Tm;Method U;Prep U;Method V;Prep V;Method Y;Prep Y;Method Yb;Prep Yb;Method Zn;Prep Zn;Method Zr;Prep Zr
ALS;1;ICP-AES;FMAD;ICP-AES;FMAD;ICP-AES;FMAD;ICP-AES;FMAD;;;ICP-AES;FMAD;ICP-AES;FMAD;ICP-AES;FMAD;ICP-AES;FMAD;;;;;;;;;;;;;;;ICP-MS;FMAD;;;;;ICP-MS;FMAD;ICP-MS;FMAD;;;ICP-MS;FMAD;ICP-MS;FMAD;ICP-MS;FMAD;;;ICP-MS;FMAD;;;;;;;;;;;;;;;;;ICP-MS;FMAD;;;;;;;;;;;;;;;ICP-MS;FMAD;;;;;;;;;;;;;;;;;;;ICP-MS;FMAD;;
ARC;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ICP-MS;AD;ICP-MS;AD;;;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;;;ICP-MS;AD;ICP-MS;AD;;;ICP-MS;AD;;;ICP-MS;AD;ICP-MS;AD;;;ICP-MS;AD;ICP-MS;AD;;;ICP-MS;AD;ICP-MS;AD;;;ICP-MS;AD;;;ICP-MS;AD;;;;;ICP-MS;AD;;;;;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;;
BGR;3;XRF;FB;XRF;FB;XRF;FB;XRF;FB;;;XRF;FB;XRF;FB;XRF;FB;XRF;FB;;;;;;;;;;;gravimetry;1000°C;;;;;;;;;XRF;FB;XRF;FB;;;XRF;FB;;;;;;;XRF;FB;;;;;;;;;;;;;;;;;XRF;FB;;;;;;;;;XRF;FB;;;;;;;;;;;;;;;;;;;XRF;FB;;;;;XRF;FB;;
BGS;4;XRF;FB;XRF;FB;XRF;FB;XRF;FB;;;XRF;FB;XRF;FB;XRF;FB;XRF;FB;XRF;FB;XRF;FB;;;;;;;gravimetry;1 hr at 1050°C in muffle furnace;ICP-MS;SI;ICP-MS;SI;;;ICP-MS;SI;XRF;PP;XRF;PP;;;XRF;PP;ICP-MS;SI;ICP-MS;SI;ICP-MS;SI;XRF;PP;ICP-MS;SI;ICP-MS;SI;ICP-MS;SI;ICP-MS;SI;ICP-MS;SI;ICP-MS;SI;ICP-MS;SI;ICP-MS;SI;XRF;PP;;;ICP-MS;SI;ICP-MS;SI;;;XRF;PP;ICP-MS;SI;;;XRF;PP;;;ICP-MS;SI;;;;;ICP-MS;SI;ICP-MS;SI;XRF;PP;ICP-MS;SI;ICP-MS;SI;XRF;PP;XRF;PP
CERAM;5;XRF;FB;XRF;FB;XRF;FB;XRF;FB;;;XRF;FB;XRF;FB;XRF;FB;XRF;FB;XRF;FB;XRF;FB;;;;;;;gravimetry;gravimetric;;;;;;;;;XRF;FB;XRF;FB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ICP-AES;FMAD;;;;;ICP-AES;FMAD;;;;;;;;;;;;;ICP-AES;FMAD;;;;;ICP-AES;FMAD;;
CGL;6;XRF;FB;XRF;FB;XRF;FB;XRF;FB;;;XRF;FB;XRF;FB;XRF;FB;XRF;FB;XRF;FB;XRF;FB;;;;;;;gravimetry;0;XRF;FB;;;;;;;XRF;FB;XRF;FB;;;XRF;FB;;;;;;;XRF;FB;;;;;;;;;;;;;;;;;XRF;FB;;;;;;;;;XRF;FB;;;;;XRF;FB;;;;;;;;;;;;;XRF;FB;XRF;FB;;;XRF;FB;XRF;FB
CZGeol;7;gravimetry;FMAD;AAS;AD;AAS;FMAD;AAS;AD;titrimetry;AD;AAS;AD;titrimetry;FMAD;titrimetry;FMAD;AAS;AD;AAS;AD;Spectrophotometry;AD;gravimetry;NO;gravimetry;NO;CS analyser, CO2 analyser.;Pyrolysis for C, decomposition with H3PO4 for CO2;gravimetry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DSTPisa;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ICP-MS;AD;;;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;;;ICP-MS;AD;ICP-MS;AD;;;ICP-MS;AD;ICP-MS;AD;;;ICP-MS;AD;ICP-MS;AD;;;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;;;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;;;ICP-MS;AD
GFZ;9;;;;;;;;;;;;;;;;;;;;;;;;;gravimetry;0;;;;;;;;;;;ICP-MS;AD;ICP-MS;AD;;;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;;;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;;;ICP-MS;AD;;;ICP-MS;AD;ICP-MS;AD;;;ICP-MS;AD;ICP-MS;AD;;;;;ICP-MS;AD;;;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;;;ICP-MS;AD;ICP-MS;AD;;;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD
Freiburg;10;XRF;FB;XRF;FB;XRF;FB;XRF;FB;titrimetry;AD;XRF;FB;XRF;FB;XRF;FB;XRF;FB;XRF;XRF;XRF;XRF;IR;powder dried for 2 h at 105°C;;;IR;powder dried for 2 h at 105°C;gravimetry;powder dried for 2 h at 105°C;;;XRF;PP;;;;;XRF;PP;XRF;PP;;;XRF;PP;;;;;;;XRF;PP;;;;;;;;;;;;;;;;;XRF;PP;;;;;;;;;XRF;PP;;;;;XRF;PP;;;;;;;;;;;;;XRF;PP;XRF;PP;;;XRF;PP;XRF;PP
